"idx_epoch","idx_iter","metric"
0,0,12.1113
0,1,12.1256
0,2,12.1019
0,3,12.0893
0,4,12.0788
0,5,12.0721
0,6,12.0666
0,7,12.0599
0,8,12.0524
0,9,12.0469
0,10,12.0371
0,11,12.0287
0,12,12.0179
0,13,12.0078
0,14,11.9968
0,15,11.9846
0,16,11.9684
0,17,11.9547
0,18,11.9375
0,19,11.9209
0,20,11.9015
0,21,11.8819
0,22,11.8618
0,23,11.8399
0,24,11.8181
0,25,11.7943
0,26,11.7701
0,27,11.7462
0,28,11.7213
0,29,11.6939
0,30,11.6669
0,31,11.6391
0,32,11.6096
0,33,11.5805
0,34,11.5502
0,35,11.5196
0,36,11.4883
0,37,11.4555
0,38,11.4225
0,39,11.3891
0,40,11.3563
0,41,11.323
0,42,11.2862
0,43,11.2518
0,44,11.2173
0,45,11.1819
0,46,11.1454
0,47,11.1099
0,48,11.0743
0,49,11.0382
0,50,11.0018
0,51,10.9644
0,52,10.9264
0,53,10.8905
0,54,10.8535
0,55,10.8168
0,56,10.7791
0,57,10.7422
0,58,10.705
0,59,10.6695
0,60,10.6322
0,61,10.5967
0,62,10.5598
0,63,10.5252
0,64,10.4896
0,65,10.454
0,66,10.4194
0,67,10.3845
0,68,10.3513
0,69,10.3193
0,70,10.2866
0,71,10.2544
0,72,10.2225
0,73,10.191
0,74,10.1603
0,75,10.1295
0,76,10.1002
0,77,10.0704
0,78,10.0428
0,79,10.015
0,80,9.9854
0,81,9.9573
0,82,9.9291
0,83,9.901
0,84,9.8737
0,85,9.8474
0,86,9.822
0,87,9.7958
0,88,9.7702
0,89,9.7447
0,90,9.7197
0,91,9.696
0,92,9.6716
0,93,9.6477
0,94,9.624
0,95,9.6021
0,96,9.5794
0,97,9.5566
0,98,9.5353
0,99,9.5131
0,100,9.4914
0,101,9.4704
0,102,9.451
0,103,9.4305
0,104,9.4107
0,105,9.391
0,106,9.3708
0,107,9.3516
0,108,9.3321
0,109,9.3129
0,110,9.293
0,111,9.2746
0,112,9.2564
0,113,9.2378
0,114,9.2193
0,115,9.2014
0,116,9.1834
0,117,9.1659
0,118,9.149
0,119,9.1317
0,120,9.1145
0,121,9.098
0,122,9.081
0,123,9.0652
0,124,9.0489
0,125,9.0334
0,126,9.018
0,127,9.0018
0,128,8.9866
0,129,8.9713
0,130,8.9565
0,131,8.9421
0,132,8.9274
0,133,8.9128
0,134,8.8989
0,135,8.8842
0,136,8.8703
0,137,8.8555
0,138,8.8417
0,139,8.8278
0,140,8.8144
0,141,8.8007
0,142,8.788
0,143,8.7753
0,144,8.7628
0,145,8.7497
0,146,8.737
0,147,8.7244
0,148,8.7119
0,149,8.6995
0,150,8.6871
0,151,8.6746
0,152,8.6631
0,153,8.651
0,154,8.6394
0,155,8.6277
0,156,8.6165
0,157,8.604
0,158,8.5924
0,159,8.5807
0,160,8.5702
0,161,8.5588
0,162,8.5481
0,163,8.5378
0,164,8.5269
0,165,8.5167
0,166,8.506
0,167,8.4957
0,168,8.4856
0,169,8.475
0,170,8.4654
0,171,8.4553
0,172,8.4449
0,173,8.4349
0,174,8.426
0,175,8.4166
0,176,8.4071
0,177,8.3976
0,178,8.3882
0,179,8.3784
0,180,8.3687
0,181,8.3603
0,182,8.3515
0,183,8.3419
0,184,8.3318
0,185,8.3225
0,186,8.3138
0,187,8.3051
0,188,8.296
0,189,8.2879
0,190,8.2793
0,191,8.2706
0,192,8.2619
0,193,8.253
0,194,8.2445
0,195,8.2359
0,196,8.2277
0,197,8.2195
0,198,8.2111
0,199,8.2033
0,200,8.1952
0,201,8.1874
0,202,8.1797
0,203,8.1721
0,204,8.1644
0,205,8.1566
0,206,8.1489
0,207,8.1411
0,208,8.1333
0,209,8.1256
0,210,8.1176
0,211,8.1101
0,212,8.1027
0,213,8.0954
0,214,8.0883
0,215,8.0815
0,216,8.0738
0,217,8.067
0,218,8.0597
0,219,8.0522
0,220,8.0448
0,221,8.038
0,222,8.0313
0,223,8.0245
0,224,8.0177
0,225,8.0105
0,226,8.0037
0,227,7.9971
0,228,7.99
0,229,7.9835
0,230,7.9762
0,231,7.9696
0,232,7.963
0,233,7.9562
0,234,7.9494
0,235,7.9438
0,236,7.9373
0,237,7.9307
0,238,7.9245
0,239,7.9182
0,240,7.9116
0,241,7.9059
0,242,7.8994
0,243,7.8933
0,244,7.8875
0,245,7.8814
0,246,7.8752
0,247,7.8691
0,248,7.8629
0,249,7.8567
0,250,7.8507
0,251,7.8453
0,252,7.8393
0,253,7.8331
0,254,7.8271
0,255,7.8213
0,256,7.8155
0,257,7.8097
0,258,7.8038
0,259,7.798
0,260,7.7928
0,261,7.7872
0,262,7.7819
0,263,7.7767
0,264,7.7714
0,265,7.7661
0,266,7.7603
0,267,7.7552
0,268,7.7496
0,269,7.7442
0,270,7.7386
0,271,7.7327
0,272,7.7276
0,273,7.7227
0,274,7.7174
0,275,7.7117
0,276,7.7065
0,277,7.7011
0,278,7.6963
0,279,7.6906
0,280,7.685
0,281,7.6796
0,282,7.6742
0,283,7.6688
0,284,7.6638
0,285,7.659
0,286,7.6536
0,287,7.6485
0,288,7.6436
0,289,7.6386
0,290,7.6335
0,291,7.6285
0,292,7.6235
0,293,7.6185
0,294,7.6137
0,295,7.6092
0,296,7.6044
0,297,7.5997
0,298,7.5945
0,299,7.5898
0,300,7.5845
0,301,7.5797
0,302,7.5755
0,303,7.5705
0,304,7.5663
0,305,7.5616
0,306,7.5571
0,307,7.5525
0,308,7.5477
0,309,7.543
0,310,7.5385
0,311,7.534
0,312,7.529
0,313,7.5242
0,314,7.5199
0,315,7.5152
0,316,7.5107
0,317,7.506
0,318,7.5014
0,319,7.4968
0,320,7.492
0,321,7.4875
0,322,7.4826
0,323,7.4785
0,324,7.4744
0,325,7.4698
0,326,7.4651
0,327,7.4604
0,328,7.4562
0,329,7.4518
0,330,7.4473
0,331,7.4429
0,332,7.4385
0,333,7.434
0,334,7.4299
0,335,7.4256
0,336,7.4214
0,337,7.4171
0,338,7.4127
0,339,7.4086
0,340,7.4042
0,341,7.4003
0,342,7.396
0,343,7.3917
0,344,7.3874
0,345,7.383
0,346,7.3785
0,347,7.3743
0,348,7.37
0,349,7.3658
0,350,7.3619
0,351,7.3575
0,352,7.3533
0,353,7.349
0,354,7.3452
0,355,7.3412
0,356,7.3369
0,357,7.3329
0,358,7.3289
0,359,7.3249
0,360,7.3207
0,361,7.3165
0,362,7.3126
0,363,7.3087
0,364,7.3045
0,365,7.3009
0,366,7.2968
0,367,7.2928
0,368,7.2887
0,369,7.2847
0,370,7.2806
0,371,7.2767
0,372,7.2726
0,373,7.2688
0,374,7.2648
0,375,7.2607
0,376,7.2567
0,377,7.2526
0,378,7.2488
0,379,7.2454
0,380,7.2416
0,381,7.238
0,382,7.2341
0,383,7.2306
0,384,7.2266
0,385,7.2228
0,386,7.2192
0,387,7.2152
0,388,7.2112
0,389,7.2072
0,390,7.2037
0,391,7.1999
0,392,7.1963
0,393,7.1924
0,394,7.1885
0,395,7.1845
0,396,7.1807
0,397,7.1768
0,398,7.1731
0,399,7.1689
0,400,7.1654
0,401,7.1618
0,402,7.1583
0,403,7.1547
0,404,7.1511
0,405,7.1474
0,406,7.144
0,407,7.1403
0,408,7.1365
0,409,7.133
0,410,7.1295
0,411,7.1261
0,412,7.1223
0,413,7.1188
0,414,7.115
0,415,7.1115
0,416,7.1077
0,417,7.1041
0,418,7.1007
0,419,7.0971
0,420,7.0937
0,421,7.0902
0,422,7.0867
0,423,7.083
0,424,7.0799
0,425,7.0765
0,426,7.073
0,427,7.0693
0,428,7.0661
0,429,7.0625
0,430,7.0593
0,431,7.0559
0,432,7.0524
0,433,7.0488
